dx:     0	dy:     0
dx:    -5	dy:   -11
dx:   -14	dy:   -23
dx:   -22	dy:   -34
dx:   -33	dy:   -42
dx:   -45	dy:   -50
dx:   -59	dy:   -57
dx:   -72	dy:   -62
dx:   -86	dy:   -65
dx:  -100	dy:   -67
dx:  -114	dy:   -68
dx:  -127	dy:   -68
dx:  -138	dy:   -66
dx:  -148	dy:   -64
dx:  -155	dy:   -62
dx:  -160	dy:   -59
dx:  -163	dy:   -57
dx:  -165	dy:   -55
dx:  -165	dy:   -53
dx:  -165	dy:   -51
dx:  -164	dy:   -49
dx:  -161	dy:   -47
dx:  -157	dy:   -44
dx:  -152	dy:   -42
dx:  -145	dy:   -40
dx:  -137	dy:   -38
dx:  -128	dy:   -36
dx:  -118	dy:   -34
dx:  -109	dy:   -33
dx:  -100	dy:   -32
dx:   -92	dy:   -31
dx:   -83	dy:   -31
dx:   -74	dy:   -31
dx:   -64	dy:   -32
dx:   -55	dy:   -34
dx:   -47	dy:   -36
dx:   -38	dy:   -40
dx:   -30	dy:   -44
dx:   -22	dy:   -48
dx:   -14	dy:   -54
dx:    -6	dy:   -61
dx:     1	dy:   -69
dx:     7	dy:   -77
dx:    12	dy:   -85
dx:    16	dy:   -94
dx:    20	dy:  -104
dx:    23	dy:  -115
dx:    25	dy:  -126
dx:    26	dy:  -137
dx:    26	dy:  -148
dx:    24	dy:  -160
dx:    20	dy:  -171
dx:    14	dy:  -183
dx:     6	dy:  -194
dx:    -4	dy:  -205
dx:   -16	dy:  -216
dx:   -31	dy:  -226
dx:   -48	dy:  -235
dx:   -68	dy:  -242
dx:   -90	dy:  -248
dx:  -112	dy:  -252
dx:  -137	dy:  -254
dx:  -163	dy:  -255
dx:  -192	dy:  -254
dx:  -224	dy:  -252
dx:  -256	dy:  -247
dx:  -287	dy:  -241
dx:  -315	dy:  -234
dx:  -339	dy:  -227
dx:  -360	dy:  -219
dx:  -377	dy:  -210
dx:  -391	dy:  -203
dx:  -401	dy:  -196
dx:  -409	dy:  -190
dx:  -415	dy:  -185
dx:  -419	dy:  -181
dx:  -421	dy:  -178
dx:  -422	dy:  -177
dx:  -422	dy:  -175
dx:  -422	dy:  -175
dx:  -422	dy:  -174
dx:  -422	dy:  -174
dx:  -422	dy:  -173
dx:  -422	dy:  -173
dx:  -422	dy:  -173
dx:  -422	dy:  -173
dx:  -422	dy:  -173
dx:  -422	dy:  -173
dx:  -421	dy:  -174
dx:  -420	dy:  -175
dx:  -420	dy:  -176
dx:  -419	dy:  -177
dx:  -419	dy:  -177
dx:  -418	dy:  -178
dx:  -418	dy:  -179
dx:  -417	dy:  -179
dx:  -416	dy:  -180
dx:  -416	dy:  -180
dx:  -415	dy:  -180
dx:  -415	dy:  -180
dx:  -415	dy:  -180
dx:  -415	dy:  -180
dx:  -414	dy:  -180
dx:  -414	dy:  -180
dx:  -414	dy:  -180
dx:  -414	dy:  -180
dx:  -413	dy:  -180
dx:  -413	dy:  -180
dx:  -413	dy:  -180
dx:  -413	dy:  -180
dx:  -413	dy:  -180
dx:  -413	dy:  -180
dx:  -413	dy:  -180
dx:  -412	dy:  -180
dx:  -412	dy:  -180
dx:  -412	dy:  -180
dx:  -412	dy:  -180
dx:  -411	dy:  -180
dx:  -411	dy:  -180
dx:  -411	dy:  -180
dx:  -410	dy:  -181
dx:  -410	dy:  -181
dx:  -410	dy:  -181
dx:  -410	dy:  -181
dx:  -409	dy:  -181
dx:  -409	dy:  -182
dx:  -409	dy:  -182
dx:  -409	dy:  -182
dx:  -409	dy:  -182
dx:  -409	dy:  -182
dx:  -409	dy:  -182
dx:  -409	dy:  -182
dx:  -409	dy:  -182
dx:  -409	dy:  -182
dx:  -409	dy:  -183
dx:  -409	dy:  -183
