dx:   747	dy:   810
dx:   806	dy:   866
dx:   854	dy:   909
dx:   896	dy:   942
dx:   933	dy:   963
dx:   966	dy:   975
dx:   997	dy:   981
dx:  1026	dy:   983
dx:  1048	dy:   983
dx:  1060	dy:   982
dx:  1067	dy:   981
dx:  1070	dy:   980
dx:  1071	dy:   979
dx:  1071	dy:   978
dx:  1071	dy:   977
dx:  1070	dy:   976
dx:  1070	dy:   974
dx:  1069	dy:   973
dx:  1069	dy:   972
dx:  1069	dy:   971
dx:  1068	dy:   970
dx:  1068	dy:   968
dx:  1067	dy:   967
dx:  1066	dy:   966
dx:  1065	dy:   964
dx:  1065	dy:   963
dx:  1064	dy:   962
dx:  1064	dy:   961
dx:  1064	dy:   961
dx:  1064	dy:   961
dx:  1064	dy:   960
dx:  1064	dy:   960
dx:  1064	dy:   960
dx:  1064	dy:   960
dx:  1063	dy:   960
dx:  1063	dy:   960
dx:  1062	dy:   960
dx:  1062	dy:   960
dx:  1062	dy:   960
dx:  1062	dy:   960
dx:  1062	dy:   960
dx:  1062	dy:   960
dx:  1062	dy:   961
dx:  1062	dy:   961
dx:  1062	dy:   961
dx:  1062	dy:   961
dx:  1062	dy:   961
dx:  1062	dy:   961
dx:  1063	dy:   962
dx:  1063	dy:   962
dx:  1064	dy:   962
dx:  1064	dy:   962
dx:  1064	dy:   962
dx:  1065	dy:   963
dx:  1065	dy:   963
dx:  1065	dy:   963
dx:  1066	dy:   964
dx:  1066	dy:   964
dx:  1067	dy:   964
dx:  1067	dy:   965
dx:  1067	dy:   965
dx:  1068	dy:   966
dx:  1068	dy:   966
dx:  1068	dy:   966
dx:  1068	dy:   966
dx:  1068	dy:   966
dx:  1068	dy:   966
dx:  1068	dy:   966
dx:  1068	dy:   966
dx:  1068	dy:   966
dx:  1068	dy:   966
dx:  1068	dy:   966
dx:  1067	dy:   965
dx:  1067	dy:   965
dx:  1067	dy:   965
dx:  1066	dy:   965
dx:  1066	dy:   965
dx:  1065	dy:   965
dx:  1065	dy:   965
dx:  1065	dy:   964
dx:  1065	dy:   964
dx:  1065	dy:   964
dx:  1064	dy:   964
dx:  1064	dy:   964
dx:  1064	dy:   964
dx:  1063	dy:   964
dx:  1063	dy:   964
dx:  1063	dy:   964
dx:  1063	dy:   965
dx:  1063	dy:   965
dx:  1063	dy:   966
dx:  1063	dy:   966
dx:  1063	dy:   966
dx:  1063	dy:   966
dx:  1063	dy:   967
dx:  1063	dy:   967
dx:  1063	dy:   968
dx:  1062	dy:   968
dx:  1061	dy:   969
dx:  1061	dy:   971
dx:  1060	dy:   973
dx:  1060	dy:   975
dx:  1059	dy:   979
dx:  1058	dy:   984
dx:  1057	dy:   990
dx:  1055	dy:   997
dx:  1054	dy:  1006
dx:  1053	dy:  1017
dx:  1051	dy:  1029
dx:  1049	dy:  1041
dx:  1047	dy:  1054
dx:  1044	dy:  1066
dx:  1044	dy:  1078
dx:  1045	dy:  1088
dx:  1048	dy:  1098
dx:  1052	dy:  1106
dx:  1057	dy:  1113
dx:  1064	dy:  1118
dx:  1073	dy:  1122
dx:  1085	dy:  1123
dx:  1099	dy:  1123
dx:  1116	dy:  1120
dx:  1136	dy:  1115
dx:  1154	dy:  1107
dx:  1170	dy:  1097
dx:  1183	dy:  1086
dx:  1193	dy:  1072
dx:  1201	dy:  1057
dx:  1206	dy:  1041
dx:  1209	dy:  1021
dx:  1209	dy:  1000
dx:  1206	dy:   978
dx:  1200	dy:   954
dx:  1192	dy:   930
