dx:     0	dy:     0
dx:     4	dy:     4
dx:     9	dy:     8
dx:    13	dy:    12
dx:    17	dy:    16
dx:    20	dy:    21
dx:    23	dy:    26
dx:    25	dy:    31
dx:    28	dy:    35
dx:    31	dy:    38
dx:    33	dy:    41
dx:    34	dy:    43
dx:    35	dy:    44
dx:    36	dy:    44
dx:    36	dy:    45
dx:    37	dy:    45
dx:    37	dy:    45
dx:    38	dy:    45
dx:    39	dy:    45
dx:    40	dy:    45
dx:    41	dy:    44
dx:    42	dy:    42
dx:    43	dy:    40
dx:    44	dy:    38
dx:    44	dy:    36
dx:    44	dy:    35
dx:    43	dy:    33
dx:    43	dy:    30
dx:    42	dy:    27
dx:    41	dy:    25
dx:    41	dy:    22
dx:    40	dy:    20
dx:    40	dy:    18
dx:    40	dy:    16
dx:    40	dy:    15
dx:    40	dy:    14
dx:    40	dy:    14
dx:    40	dy:    14
dx:    40	dy:    15
dx:    39	dy:    17
dx:    38	dy:    19
dx:    37	dy:    21
dx:    37	dy:    25
dx:    37	dy:    31
dx:    36	dy:    39
dx:    36	dy:    48
dx:    36	dy:    59
dx:    37	dy:    72
dx:    39	dy:    86
dx:    40	dy:   102
dx:    41	dy:   119
dx:    44	dy:   138
dx:    46	dy:   157
dx:    48	dy:   175
dx:    49	dy:   191
dx:    51	dy:   206
dx:    52	dy:   218
dx:    52	dy:   229
dx:    52	dy:   236
dx:    52	dy:   241
dx:    52	dy:   244
dx:    50	dy:   247
dx:    46	dy:   248
dx:    41	dy:   248
dx:    33	dy:   246
dx:    24	dy:   240
dx:    11	dy:   233
dx:    -5	dy:   223
dx:   -22	dy:   211
dx:   -40	dy:   199
dx:   -60	dy:   187
dx:   -81	dy:   175
dx:  -101	dy:   164
dx:  -120	dy:   152
dx:  -138	dy:   143
dx:  -152	dy:   134
dx:  -162	dy:   128
dx:  -171	dy:   122
dx:  -178	dy:   116
dx:  -184	dy:   111
dx:  -188	dy:   107
dx:  -191	dy:   102
dx:  -192	dy:    97
dx:  -192	dy:    90
dx:  -191	dy:    81
dx:  -188	dy:    68
dx:  -184	dy:    51
dx:  -179	dy:    31
dx:  -173	dy:     7
dx:  -167	dy:   -18
dx:  -162	dy:   -44
dx:  -157	dy:   -67
dx:  -153	dy:   -87
dx:  -150	dy:  -102
dx:  -148	dy:  -112
dx:  -146	dy:  -118
dx:  -145	dy:  -121
dx:  -145	dy:  -121
dx:  -145	dy:  -121
dx:  -145	dy:  -118
dx:  -145	dy:  -113
dx:  -147	dy:  -106
dx:  -152	dy:   -95
dx:  -158	dy:   -81
dx:  -165	dy:   -66
dx:  -173	dy:   -47
dx:  -184	dy:   -25
dx:  -196	dy:    -1
dx:  -208	dy:    23
dx:  -218	dy:    46
dx:  -226	dy:    65
dx:  -231	dy:    83
dx:  -236	dy:   101
dx:  -240	dy:   117
dx:  -243	dy:   131
dx:  -244	dy:   144
dx:  -245	dy:   157
dx:  -246	dy:   170
dx:  -249	dy:   183
dx:  -252	dy:   198
dx:  -256	dy:   213
dx:  -260	dy:   229
dx:  -264	dy:   244
dx:  -269	dy:   258
dx:  -273	dy:   270
dx:  -277	dy:   280
dx:  -278	dy:   289
dx:  -279	dy:   295
dx:  -280	dy:   299
dx:  -281	dy:   302
dx:  -281	dy:   303
dx:  -281	dy:   305
dx:  -281	dy:   306
dx:  -280	dy:   307
dx:  -280	dy:   307
dx:  -279	dy:   307
dx:  -278	dy:   308
dx:  -278	dy:   308
dx:  -277	dy:   308
dx:  -277	dy:   308
dx:  -276	dy:   308
dx:  -276	dy:   308
dx:  -276	dy:   308
dx:  -276	dy:   308
dx:  -276	dy:   308
dx:  -276	dy:   308
dx:  -276	dy:   308
dx:  -276	dy:   308
dx:  -276	dy:   308
dx:  -276	dy:   308
dx:  -276	dy:   308
dx:  -276	dy:   308
dx:  -276	dy:   308
dx:  -276	dy:   308
dx:  -277	dy:   308
dx:  -277	dy:   308
dx:  -278	dy:   309
dx:  -279	dy:   309
dx:  -280	dy:   309
dx:  -280	dy:   309
dx:  -281	dy:   309
dx:  -281	dy:   309
dx:  -282	dy:   309
dx:  -282	dy:   309
dx:  -282	dy:   309
dx:  -283	dy:   309
dx:  -283	dy:   309
dx:  -283	dy:   309
dx:  -283	dy:   309
dx:  -283	dy:   310
dx:  -283	dy:   310
dx:  -284	dy:   310
dx:  -284	dy:   311
dx:  -285	dy:   311
dx:  -286	dy:   312
