dx:     0	dy:     0
dx:    -4	dy:     2
dx:    -8	dy:     5
dx:   -14	dy:     8
dx:   -21	dy:    12
dx:   -27	dy:    16
dx:   -32	dy:    20
dx:   -38	dy:    25
dx:   -44	dy:    30
dx:   -50	dy:    36
dx:   -54	dy:    41
dx:   -56	dy:    45
dx:   -58	dy:    48
dx:   -59	dy:    49
dx:   -59	dy:    50
dx:   -59	dy:    50
dx:   -60	dy:    50
dx:   -60	dy:    49
dx:   -60	dy:    47
dx:   -60	dy:    44
dx:   -60	dy:    40
dx:   -60	dy:    36
dx:   -63	dy:    30
dx:   -65	dy:    23
dx:   -68	dy:    16
dx:   -73	dy:     8
dx:   -79	dy:    -2
dx:   -84	dy:   -12
dx:   -88	dy:   -19
dx:   -94	dy:   -26
dx:  -100	dy:   -32
dx:  -103	dy:   -35
dx:  -104	dy:   -37
dx:  -105	dy:   -38
dx:  -105	dy:   -38
dx:  -105	dy:   -38
dx:  -104	dy:   -36
dx:  -102	dy:   -34
dx:   -99	dy:   -32
dx:   -96	dy:   -29
dx:   -91	dy:   -26
dx:   -86	dy:   -23
dx:   -80	dy:   -21
dx:   -74	dy:   -20
dx:   -67	dy:   -20
dx:   -61	dy:   -20
dx:   -55	dy:   -21
dx:   -50	dy:   -23
dx:   -47	dy:   -27
dx:   -43	dy:   -32
dx:   -40	dy:   -39
dx:   -39	dy:   -46
dx:   -39	dy:   -55
dx:   -39	dy:   -65
dx:   -41	dy:   -73
dx:   -45	dy:   -83
dx:   -51	dy:   -93
dx:   -56	dy:  -101
dx:   -63	dy:  -109
dx:   -75	dy:  -117
dx:   -84	dy:  -124
dx:   -92	dy:  -128
dx:  -103	dy:  -131
dx:  -114	dy:  -133
dx:  -124	dy:  -134
dx:  -134	dy:  -134
dx:  -143	dy:  -132
dx:  -150	dy:  -129
dx:  -158	dy:  -123
dx:  -165	dy:  -117
dx:  -170	dy:  -111
dx:  -174	dy:  -104
dx:  -176	dy:   -99
dx:  -177	dy:   -94
dx:  -178	dy:   -91
dx:  -178	dy:   -89
dx:  -178	dy:   -89
dx:  -178	dy:   -89
dx:  -176	dy:   -90
dx:  -175	dy:   -91
dx:  -174	dy:   -93
dx:  -173	dy:   -95
dx:  -171	dy:   -96
dx:  -171	dy:   -97
dx:  -170	dy:   -98
dx:  -170	dy:   -99
dx:  -169	dy:   -99
dx:  -169	dy:   -99
dx:  -169	dy:   -99
dx:  -169	dy:   -99
dx:  -169	dy:   -99
dx:  -169	dy:   -99
dx:  -169	dy:   -99
dx:  -169	dy:   -99
dx:  -169	dy:   -99
dx:  -169	dy:   -99
dx:  -169	dy:   -99
dx:  -169	dy:   -99
dx:  -169	dy:   -99
dx:  -169	dy:   -99
dx:  -169	dy:   -99
dx:  -169	dy:   -99
dx:  -169	dy:   -99
dx:  -169	dy:  -100
dx:  -169	dy:  -100
dx:  -169	dy:  -101
dx:  -169	dy:  -101
dx:  -169	dy:  -102
dx:  -169	dy:  -102
dx:  -169	dy:  -102
dx:  -169	dy:  -102
dx:  -169	dy:  -102
dx:  -169	dy:  -102
dx:  -169	dy:  -102
dx:  -169	dy:  -102
dx:  -169	dy:  -102
dx:  -169	dy:  -102
dx:  -168	dy:  -102
dx:  -168	dy:  -102
dx:  -168	dy:  -102
dx:  -168	dy:  -103
dx:  -168	dy:  -103
dx:  -168	dy:  -103
dx:  -168	dy:  -103
dx:  -168	dy:  -103
dx:  -167	dy:  -103
dx:  -167	dy:  -104
dx:  -167	dy:  -104
dx:  -167	dy:  -104
dx:  -167	dy:  -104
dx:  -167	dy:  -104
dx:  -167	dy:  -104
dx:  -167	dy:  -104
dx:  -166	dy:  -104
