dx:     0	dy:     0
dx:     2	dy:     4
dx:     3	dy:     7
dx:     3	dy:    10
dx:     4	dy:    12
dx:     4	dy:    14
dx:     5	dy:    15
dx:     5	dy:    16
dx:     5	dy:    17
dx:     5	dy:    17
dx:     4	dy:    17
dx:     2	dy:    18
dx:    -2	dy:    19
dx:    -6	dy:    21
dx:   -10	dy:    24
dx:   -18	dy:    29
dx:   -28	dy:    36
dx:   -38	dy:    46
dx:   -52	dy:    58
dx:   -68	dy:    72
dx:   -84	dy:    89
dx:  -106	dy:   110
dx:  -128	dy:   129
dx:  -142	dy:   142
dx:  -150	dy:   152
dx:  -157	dy:   159
dx:  -162	dy:   163
dx:  -164	dy:   166
dx:  -165	dy:   168
dx:  -166	dy:   168
dx:  -166	dy:   168
dx:  -165	dy:   168
dx:  -162	dy:   166
dx:  -159	dy:   163
dx:  -156	dy:   159
dx:  -154	dy:   153
dx:  -151	dy:   145
dx:  -148	dy:   134
dx:  -146	dy:   121
dx:  -146	dy:   104
dx:  -147	dy:    84
dx:  -150	dy:    61
dx:  -156	dy:    37
dx:  -164	dy:    13
dx:  -174	dy:   -10
dx:  -188	dy:   -32
dx:  -205	dy:   -52
dx:  -224	dy:   -70
dx:  -243	dy:   -85
dx:  -264	dy:   -96
dx:  -293	dy:  -104
dx:  -335	dy:  -110
dx:  -379	dy:  -111
dx:  -420	dy:  -106
dx:  -459	dy:   -94
dx:  -494	dy:   -74
dx:  -523	dy:   -48
dx:  -548	dy:   -15
dx:  -563	dy:    24
dx:  -574	dy:    78
dx:  -582	dy:   154
dx:  -583	dy:   239
dx:  -573	dy:   319
dx:  -555	dy:   398
dx:  -539	dy:   476
dx:  -522	dy:   533
dx:  -505	dy:   571
dx:  -491	dy:   596
dx:  -482	dy:   612
dx:  -477	dy:   623
dx:  -474	dy:   630
dx:  -472	dy:   636
dx:  -472	dy:   640
dx:  -472	dy:   642
dx:  -472	dy:   644
dx:  -473	dy:   645
dx:  -474	dy:   646
dx:  -476	dy:   647
dx:  -477	dy:   647
dx:  -477	dy:   647
dx:  -479	dy:   648
dx:  -480	dy:   648
dx:  -480	dy:   648
dx:  -481	dy:   648
dx:  -481	dy:   647
dx:  -481	dy:   647
dx:  -481	dy:   647
dx:  -481	dy:   646
dx:  -481	dy:   646
dx:  -480	dy:   645
dx:  -480	dy:   645
dx:  -479	dy:   644
dx:  -478	dy:   644
dx:  -478	dy:   644
dx:  -477	dy:   643
dx:  -477	dy:   643
dx:  -477	dy:   642
dx:  -477	dy:   642
dx:  -476	dy:   641
dx:  -476	dy:   641
dx:  -476	dy:   640
dx:  -476	dy:   639
dx:  -476	dy:   639
dx:  -476	dy:   638
dx:  -477	dy:   637
dx:  -478	dy:   636
dx:  -480	dy:   635
dx:  -481	dy:   635
dx:  -482	dy:   634
dx:  -482	dy:   634
dx:  -482	dy:   633
dx:  -483	dy:   632
dx:  -484	dy:   632
dx:  -485	dy:   631
dx:  -485	dy:   631
dx:  -486	dy:   630
dx:  -486	dy:   630
dx:  -486	dy:   630
dx:  -487	dy:   630
dx:  -487	dy:   630
dx:  -487	dy:   630
dx:  -487	dy:   629
dx:  -487	dy:   629
dx:  -487	dy:   629
dx:  -487	dy:   629
dx:  -487	dy:   629
dx:  -487	dy:   629
dx:  -487	dy:   629
dx:  -487	dy:   629
dx:  -486	dy:   630
dx:  -486	dy:   630
dx:  -486	dy:   630
dx:  -486	dy:   630
dx:  -487	dy:   630
dx:  -488	dy:   629
dx:  -489	dy:   628
dx:  -490	dy:   628
dx:  -490	dy:   627
dx:  -490	dy:   627
dx:  -490	dy:   626
dx:  -490	dy:   625
dx:  -490	dy:   625
dx:  -490	dy:   624
dx:  -490	dy:   624
dx:  -490	dy:   624
dx:  -490	dy:   623
dx:  -490	dy:   623
dx:  -490	dy:   623
dx:  -490	dy:   622
dx:  -489	dy:   622
